,att_bonus_wgt,att_chance_wgt,att_conqc_wgt,att_cutoff,att_cutoff_win,att_mission_wgt,att_narmies_wgt,ft_avantage_wgt,ft_bonus_wgt,ft_min_wgt,ft_mission_wgt,ft_narmies_wgt,ft_tvantage_wgt,mis_base_wgt,mis_cont_wgt,mis_extr_wgt,mis_play_wgt,mis_terr_wgt,re_avantage_wgt,re_dbonus_wgt,re_ibonus_wgt,re_mission_wgt,re_tvantage_wgt,turn_in_cutoff,iteration
24,10.49,-7.71,24.3,8.0,-24.9,1,6.83,-11.85,11.27,-5.45,-14.05,1,-23.52,15.27,13.38,13.74,0,0.8,-17.2,-18.58,-23.74,1,14.58,6,0
25,13.45,18.72,18.2,-24.6,-11.5,0,11.99,-21.95,-23.85,-6.74,7.64,-1,-18.15,13.06,19.6,23.46,1,11.57,-14.27,-19.68,-19.1,-1,23.68,4,0
26,12.39,18.72,18.75,6.2,5.4,-1,4.76,2.22,-23.85,-2.51,-20.99,0,-24.23,13.12,5.27,23.46,0,-4.76,-14.27,-19.68,-3.6,0,24.57,10,0
27,18.97,-14.99,-17.39,6.3,0.7,1,12.21,19.05,3.86,11.08,-22.69,1,-24.27,-2.25,4.25,-0.75,1,18.95,-18.17,-18.7,2.73,1,24.61,4,0
28,18.4,-15.22,16.2,20.0,-20.5,-1,8.88,16.18,-20.71,23.85,22.78,0,2.44,4.56,-2.47,23.9,0,17.07,3.97,8.55,-21.72,-1,14.47,8,0
29,-10.68,3.05,18.67,-15.8,-22.4,1,17.45,-22.95,-20.46,6.07,5.22,1,-22.62,13.19,-6.67,21.42,1,13.7,-6.7,-17.1,18.33,-1,-2.34,8,0
30,-8.07,-17.56,7.71,-15.6,-18.7,1,22.49,-2.06,24.15,24.79,-18.68,1,-6.15,19.06,-23.64,12.92,0,16.83,-3.82,-5.19,-23.77,-1,-19.53,10,0
31,10.49,9.16,24.3,-2.4,-15.3,1,5.1,9.47,11.09,-5.45,-14.05,1,1.43,-5.19,13.38,13.74,0,-14.18,5.18,10.37,-23.74,1,14.58,6,0
32,-6.67,-16.23,23.25,-2.9,8.6,0,16.1,3.34,-5.61,17.89,-24.8,0,-22.88,23.09,12.62,-24.85,0,-4.34,-9.63,6.19,-15.61,0,21.21,6,0
33,9.94,-21.65,13.8,-12.5,-11.9,-1,3.41,9.56,21.26,24.62,-4.21,-1,-17.5,11.2,-15.87,-17.65,1,-11.74,5.75,0.67,-10.09,0,13.79,6,0
34,18.97,-14.99,-17.39,6.3,0.7,1,12.21,19.05,3.86,11.08,-22.69,1,-24.27,-2.25,4.25,-0.75,1,18.95,-18.17,-18.7,2.73,1,24.61,4,0
35,19.78,-4.63,19.95,12.6,-0.5,-1,19.62,19.91,14.57,-21.52,6.74,0,-22.94,7.81,18.82,-7.15,1,-14.5,-2.65,-20.7,-24.82,0,16.81,6,0
36,13.88,14.89,18.17,-10.5,4.9,-1,8.05,19.65,11.11,13.59,-22.24,0,-22.87,-13.28,-13.95,-18.65,0,3.31,0.46,15.46,-16.37,0,23.67,6,0
37,10.26,-16.51,-0.12,-10.5,-2.5,0,17.23,-14.36,2.21,1.25,-10.31,0,5.51,-1.57,-10.99,-18.26,1,0.36,-2.19,-24.95,-18.55,1,17.62,8,0
38,-14.8,1.44,18.24,8.6,23.7,-1,6.99,-20.74,-10.93,14.83,15.21,1,-3.88,22.47,6.52,-5.19,0,-0.51,-20.25,-16.36,-7.48,1,24.95,4,0
39,18.97,-14.99,-17.39,6.3,0.7,1,12.21,19.05,3.86,11.08,-22.69,1,-24.27,-2.25,4.25,-0.75,1,18.95,-18.17,-18.7,2.73,1,24.61,4,0
40,-3.11,-9.16,-0.19,11.0,-2.5,-1,17.23,-14.36,-2.84,3.47,12.15,1,-4.58,-3.4,2.86,-24.85,1,0.36,-2.19,19.42,0.96,-1,17.62,8,0
41,10.73,-23.6,-8.28,22.7,-16.2,1,20.09,21.69,-5.51,24.79,2.29,-1,1.16,8.79,16.87,0.29,1,-3.01,-13.0,-21.44,-0.25,-1,16.02,10,0
42,20.5,-23.28,8.05,4.3,-16.1,1,4.17,-16.94,17.0,0.19,11.14,1,-6.09,23.66,15.54,24.54,0,-2.88,8.11,-7.69,-10.16,-1,-7.11,4,0
43,4.83,9.68,9.09,-10.8,-24.1,1,19.35,-20.43,-2.26,-8.63,-15.27,1,6.59,-15.04,5.06,15.38,1,14.9,-10.7,-14.95,9.45,0,7.54,6,0
44,-10.51,10.21,23.54,-13.2,-17.4,1,19.21,-16.71,1.47,10.04,14.84,-1,-13.19,-22.72,10.01,-1.62,1,-19.35,1.99,3.83,21.5,1,7.47,4,0
45,20.32,14.84,6.98,-18.0,4.9,1,8.05,-8.98,12.94,15.51,0.2,0,23.5,-23.88,-13.95,-18.65,1,-10.84,6.69,15.46,13.2,0,23.67,10,0
46,6.82,-14.75,-0.88,13.1,24.2,-1,11.98,-15.31,17.2,-9.46,3.4,1,-18.24,9.55,-5.41,0.3,0,-23.51,-19.33,-12.21,-1.79,-1,1.46,10,0
47,-3.11,-11.89,23.97,1.0,-2.5,0,9.49,-14.36,7.34,3.47,12.65,0,19.97,-12.43,10.27,0.95,1,-15.75,-2.19,23.87,12.05,-1,17.62,8,0
48,-15.92,-15.22,13.38,16.3,-20.5,1,9.63,6.73,3.9,8.03,-22.07,-1,2.44,4.56,9.92,-9.6,1,7.65,3.97,-14.35,-21.72,1,8.44,8,0
49,-10.68,-0.59,18.67,-0.8,-15.7,-1,17.45,-22.95,-16.91,6.07,5.22,1,9.5,13.19,-6.67,21.42,0,13.7,-16.57,-17.1,-23.58,1,-7.23,8,0
50,10.23,-4.32,19.95,12.6,21.7,1,19.62,19.21,14.57,-21.52,23.88,0,22.67,7.81,-10.76,-0.36,0,-2.88,-0.45,-7.62,-0.93,0,2.89,6,0
51,-0.77,-16.29,-1.91,-3.6,-20.5,0,6.81,-9.18,-13.76,7.71,-20.73,1,-11.89,-1.38,-0.13,13.37,0,0.72,16.82,-11.68,-1.39,0,22.95,10,0
52,12.75,7.72,14.57,-2.7,17.2,0,-0.04,2.18,-17.32,-14.35,21.69,1,7.77,-22.73,-18.39,-15.51,1,5.4,4.54,-16.8,-16.95,0,18.39,6,0
53,18.4,-15.22,16.2,20.0,21.6,-1,17.32,16.18,-17.07,23.85,19.82,0,2.44,4.56,-2.47,-0.98,0,17.32,3.97,-22.29,-21.72,-1,14.47,6,0
54,14.28,-6.55,13.94,11.6,-2.8,1,22.17,16.18,6.1,-7.4,11.81,1,-22.62,11.88,-11.7,0.47,1,4.19,-6.7,19.16,18.9,-1,23.09,8,0
55,10.33,-2.69,22.28,18.7,22.7,0,12.99,-1.56,12.3,7.22,-5.7,1,15.09,-8.66,18.85,15.74,1,-8.6,-5.24,-21.21,-12.29,-1,2.39,6,0
56,10.73,-23.6,-8.28,22.7,-16.2,1,20.09,21.69,-5.51,24.79,2.29,-1,1.16,8.79,16.87,0.29,1,-3.01,-13.0,-21.44,-0.25,-1,16.02,10,0
57,12.75,-10.63,23.16,-14.0,16.6,1,9.14,2.18,-3.19,-19.48,23.83,1,7.77,15.98,17.81,-1.73,1,5.4,4.54,17.7,-16.95,-1,24.43,8,0
58,-23.35,-4.12,14.28,21.8,16.6,1,12.27,11.56,10.37,7.43,21.72,1,-24.05,13.69,15.32,24.68,0,13.29,-6.56,-20.27,-20.75,-1,7.05,6,0
59,-10.68,-0.59,18.67,-0.8,-15.7,-1,17.45,-22.95,-16.91,6.07,5.22,1,9.5,13.19,-6.67,21.42,0,13.7,-16.57,-17.1,-23.58,0,-7.12,8,0
60,19.78,-4.63,19.95,12.6,-0.5,-1,19.62,19.91,14.57,-21.52,6.74,0,-22.94,7.81,18.82,-7.15,1,-14.5,-2.65,-20.64,-24.82,0,16.94,6,0
61,14.28,-6.55,13.94,11.6,-2.8,1,22.17,16.18,6.1,-7.4,11.81,1,-22.62,11.88,-11.7,0.47,1,4.19,-6.7,19.16,18.9,-1,23.09,8,0
62,6.82,-14.75,-0.88,13.2,24.2,-1,11.98,-15.31,17.2,-9.46,3.4,1,-18.24,9.55,-5.41,0.3,0,-23.51,-19.33,-12.21,-1.79,-1,1.46,10,0
63,10.62,-1.13,3.92,-7.6,-11.4,1,22.89,17.8,-22.19,-19.39,12.43,1,11.74,6.75,-10.45,-17.99,1,-8.93,-21.52,10.42,19.77,0,8.72,6,0
64,18.97,-6.33,-17.39,6.3,0.7,0,12.21,-21.95,3.86,-2.51,-17.58,1,-24.23,-23.29,4.25,23.46,1,-4.76,-14.27,-18.7,2.73,1,6.02,8,0
65,10.73,-23.6,-8.28,22.7,-16.2,1,20.09,21.69,-5.51,24.79,2.29,-1,1.16,8.79,16.87,0.29,1,-3.01,-13.0,-21.44,-0.25,-1,16.02,10,0
66,21.2,-10.49,4.0,1.5,-5.6,0,2.03,-17.92,-2.84,-24.66,12.15,1,-4.58,-23.9,18.82,-24.85,0,13.08,20.01,19.42,-6.44,0,-0.47,4,0
67,8.24,-18.64,0.43,-9.0,-22.3,1,7.6,-2.51,-20.46,14.91,-19.29,1,-20.52,-12.09,-24.02,18.13,1,-22.63,-10.86,-11.4,22.04,1,-2.34,10,0
68,-6.67,-16.23,23.25,-2.9,8.6,0,16.1,3.34,-5.61,17.89,-24.8,0,-22.88,23.09,12.62,-24.85,0,-4.34,-9.63,6.19,-15.61,0,21.21,6,0
69,24.08,1.64,6.5,12.9,-17.5,0,1.01,-8.89,-19.93,16.59,16.8,-1,-6.69,3.15,5.64,17.1,1,3.42,11.61,-13.76,-3.04,-1,17.11,8,0
70,18.4,-15.22,16.2,20.0,-20.5,-1,8.88,16.18,-20.71,23.85,22.78,0,2.44,4.56,-2.47,23.9,0,17.32,3.97,8.55,-21.72,-1,14.47,8,0
71,19.78,-4.63,19.95,12.6,-0.5,-1,19.62,19.91,14.57,-21.52,6.74,0,-22.94,7.81,18.82,-7.15,1,-14.5,-2.65,-20.64,-24.82,0,16.81,6,0
72,18.4,-15.22,16.2,20.0,-20.5,-1,8.88,16.18,-20.71,23.85,22.78,0,2.44,4.56,-2.47,23.9,0,17.32,3.97,8.55,-21.72,-1,14.47,8,0
73,-10.26,8.11,11.75,14.3,-22.1,-1,1.47,-14.19,-15.76,-18.72,2.25,1,-14.35,-18.38,4.62,-0.97,0,9.11,18.85,23.28,21.55,1,-4.5,4,0
74,24.98,16.51,-6.18,-23.3,18.3,-1,13.83,8.7,-2.85,-13.49,-18.16,-1,21.86,12.52,17.77,-13.71,0,-7.37,1.72,-21.49,21.44,0,-1.82,8,0
75,-10.68,-0.59,18.67,-0.8,-15.7,-1,17.45,-22.95,-16.91,6.07,5.22,1,9.5,13.19,-6.67,21.42,0,13.7,-16.57,-17.1,-23.58,1,-7.12,8,0
76,2.25,-19.3,5.18,5.7,-24.3,1,20.48,-14.17,14.35,-8.74,-2.22,1,3.89,-18.86,2.79,7.61,0,-24.08,-6.3,-19.53,-8.42,1,-9.87,4,0
77,-15.92,-15.22,13.38,16.3,-20.5,1,9.59,6.73,3.9,8.03,-22.07,-1,2.44,4.56,9.92,-9.6,1,7.65,3.97,-14.35,-21.72,1,8.44,8,0
78,22.13,14.88,23.12,-0.7,-4.2,-1,15.8,5.61,-2.85,18.96,4.33,0,21.86,10.99,-13.15,-10.93,1,-5.05,-0.94,-21.46,10.34,-1,23.79,6,0
79,-14.09,-19.3,13.38,5.7,-0.9,1,20.48,-14.17,3.9,8.03,-11.17,-1,4.5,-0.87,9.92,10.6,1,22.46,8.59,-13.05,9.54,1,-9.87,8,0
80,12.42,-16.29,-1.91,-17.8,5.4,0,18.31,0.0,-24.55,-0.09,-21.64,1,-11.89,-8.82,2.85,-17.4,0,-11.1,-3.95,4.93,2.85,-1,23.32,4,0
81,-14.8,1.44,18.24,8.6,23.7,-1,6.99,-20.74,-10.93,14.83,15.21,1,-3.88,22.47,6.52,-5.19,0,-0.51,-20.25,-16.36,-7.48,1,24.95,4,0
82,-6.77,-16.23,23.25,-16.3,8.6,0,16.1,3.34,-5.61,17.89,-5.24,0,-22.88,11.28,6.12,-5.21,0,-15.5,-3.86,-16.66,19.83,0,21.21,4,0
83,-4.67,-15.22,16.2,20.0,15.2,-1,6.25,16.18,-17.07,23.85,19.82,0,21.6,-19.6,-2.47,-7.2,0,-16.62,3.97,-22.29,9.51,-1,7.56,10,0
84,18.97,-14.99,-1.91,6.3,-20.5,0,12.21,19.05,-13.76,11.08,-22.69,1,-11.89,-2.25,4.25,-0.75,1,0.72,16.82,-18.7,2.73,0,24.61,10,0
85,4.16,-17.32,21.25,23.4,10.5,-1,12.04,-10.66,8.2,-20.96,17.04,0,19.79,-23.14,-23.0,11.21,0,20.16,-0.5,-7.02,9.89,1,24.82,8,0
86,17.28,-13.65,7.34,6.2,24.4,-1,19.21,17.17,11.7,23.61,3.15,1,-13.19,-22.72,-4.58,-1.62,1,11.72,19.35,0.38,21.5,-1,24.57,4,0
87,-3.11,-14.25,5.64,11.0,3.3,0,14.13,-14.36,16.26,3.47,12.53,0,5.51,18.82,18.67,0.95,1,0.36,-21.52,-24.95,9.86,0,8.72,6,0
88,-14.1,15.57,-3.34,13.2,4.0,1,15.37,-16.87,-8.48,5.32,-18.68,1,18.14,-18.48,4.56,-15.86,0,19.15,-6.8,-7.79,0.8,1,0.61,4,0
89,-6.11,16.67,-0.12,11.0,-2.5,1,17.23,17.19,23.16,3.47,12.42,1,-11.5,-0.27,2.86,0.95,1,0.36,-2.19,-24.95,9.86,1,17.62,10,0
90,19.78,-4.63,19.95,12.6,-0.5,-1,19.62,19.91,14.57,-21.52,6.74,0,-22.94,7.81,18.82,-7.15,1,-14.5,-2.65,-20.64,-24.82,0,16.89,6,0
91,16.11,15.57,-3.34,22.7,16.3,1,15.29,14.89,-5.51,2.01,-18.68,0,1.16,8.79,16.87,0.29,1,-3.01,-4.79,-7.75,0.8,-1,0.61,10,0
92,20.46,-18.68,12.52,-0.6,1.8,0,10.66,-19.43,-8.51,18.33,-17.32,1,-5.74,16.17,-6.15,19.47,0,10.62,11.14,-4.77,-10.16,-1,0.85,8,0
93,-0.77,-21.65,13.8,3.6,14.7,1,21.7,18.32,21.26,-8.53,2.82,-1,3.98,11.2,16.38,-4.23,1,-11.74,3.12,-12.29,10.62,0,13.79,6,0
94,-19.34,-23.49,-11.93,-5.7,17.6,0,23.52,4.78,-2.27,-13.18,12.26,0,-5.99,16.04,2.57,-12.66,1,10.47,18.55,-22.37,12.55,1,-13.61,4,0
95,20.82,-23.48,12.95,-18.5,8.6,-1,7.86,-10.81,-11.2,2.96,24.05,1,-19.27,-22.17,-18.72,15.94,1,-21.26,-7.01,-0.82,23.01,0,-16.48,8,0
96,18.4,-15.22,16.2,20.0,-20.5,-1,8.88,16.18,-20.71,23.85,22.78,0,2.44,4.56,-2.47,23.9,0,17.32,3.97,8.55,-21.72,-1,14.47,8,0
97,13.45,18.72,18.2,-24.6,-11.5,0,11.99,-21.95,-23.85,-6.74,7.64,-1,-18.15,13.06,19.6,23.46,1,11.57,-14.27,-19.68,-19.1,-1,23.68,4,0
98,6.82,-14.75,-0.88,13.2,24.2,-1,11.98,-15.31,17.2,-9.46,3.4,1,-18.24,9.55,-5.41,0.3,0,-23.51,-19.33,-12.21,-1.79,-1,1.46,10,0
99,19.78,-4.63,19.95,12.6,-0.5,-1,19.62,19.91,14.57,-21.52,6.74,0,-22.94,7.81,18.82,-7.15,1,-14.5,-2.65,-20.64,-24.82,0,16.94,6,0
100,12.42,-16.29,-1.91,1.9,19.5,0,22.68,0.0,-13.76,-0.09,-21.64,1,-11.89,-0.07,15.73,13.37,0,0.72,-3.95,-14.24,-1.39,0,23.32,10,0
101,9.94,-21.65,13.8,-12.5,-11.9,-1,3.41,9.56,21.26,24.62,-4.21,-1,-17.5,11.2,-15.87,-17.65,1,-11.74,5.75,0.67,-10.09,0,13.79,6,0
102,-8.76,23.75,23.97,-5.5,12.1,1,9.49,13.14,23.16,-12.32,10.8,1,10.04,-12.43,7.84,-22.97,1,3.14,-24.24,16.03,21.99,1,-15.59,10,0
103,-16.44,-21.93,-15.3,15.7,-10.3,1,23.78,17.13,23.07,-4.2,-23.77,-1,20.91,18.58,-13.24,-18.81,1,-7.77,-0.3,4.72,-21.82,1,21.94,10,0
104,22.13,14.88,23.12,-0.7,-4.2,0,15.8,5.61,-22.02,2.78,4.33,0,-17.99,10.99,-13.15,18.29,0,-5.05,-20.3,-21.46,10.38,-1,23.79,6,0
105,22.13,14.88,23.12,-0.7,-4.2,0,15.8,5.61,-22.02,2.78,4.33,0,-17.99,10.99,-13.15,18.29,0,-5.05,-20.3,-21.46,10.34,-1,23.79,6,0
106,9.71,-13.35,9.83,4.0,-3.4,0,16.0,23.72,-23.47,10.62,21.08,1,-22.92,20.71,-0.39,-5.68,0,13.91,3.28,12.66,-20.71,0,6.6,6,0
107,20.32,21.3,6.98,-18.0,-6.8,-1,24.51,-8.98,9.08,15.51,21.08,1,-22.92,-23.88,-18.71,-5.68,1,-10.84,-22.91,4.86,13.2,0,-15.78,6,0
108,-14.1,-11.25,-3.34,13.2,4.0,1,9.11,-16.87,-8.48,5.32,-18.68,1,24.33,13.17,-23.22,-15.86,1,-3.01,-23.01,-16.44,0.8,1,0.61,4,0
109,4.16,-17.32,21.25,23.4,10.5,-1,12.04,-10.66,8.2,-20.96,17.04,0,19.79,-23.14,-23.0,11.21,0,20.16,-0.5,-7.02,9.89,1,24.82,8,0
110,-24.33,-7.52,-3.12,-19.9,11.0,1,16.17,-8.53,17.52,-13.83,15.75,1,22.06,22.66,13.28,1.42,0,4.55,-11.81,21.7,-9.9,0,22.92,10,0
111,2.25,6.89,24.3,8.0,-24.3,1,6.85,13.71,11.27,20.71,-18.68,1,3.89,-18.86,2.79,7.61,0,0.8,-6.3,-18.58,-23.74,1,0.61,4,0
112,-24.86,-19.3,12.27,5.7,-0.9,1,20.48,-14.17,-16.86,-6.11,-2.22,1,-12.07,-0.87,19.41,10.6,1,22.46,-12.75,-13.05,-22.25,1,-9.87,8,0
113,2.25,6.89,-8.28,22.7,-16.2,1,18.31,13.71,-5.51,24.79,10.21,-1,1.16,8.79,2.79,0.29,1,-24.08,-6.3,-21.44,-8.42,-1,16.02,4,0
114,2.25,-23.48,5.18,6.4,12.2,-1,7.8,-10.81,-11.2,2.96,10.21,1,-19.99,6.98,2.79,7.64,0,8.81,-7.01,-19.53,-18.52,1,24.59,4,0
115,-14.24,3.05,16.65,-15.8,-2.8,-1,21.43,3.65,24.77,-7.83,-24.13,0,-22.62,2.65,-0.1,-20.74,1,20.51,-6.7,-8.36,6.02,1,23.61,8,0
116,-15.92,-18.64,22.07,16.3,-22.4,1,7.6,-2.51,-20.46,14.91,-19.29,0,-20.52,-12.09,-23.99,18.13,1,7.65,-10.86,-11.4,-21.72,-1,8.44,10,0
117,10.33,-2.69,22.28,18.7,22.7,0,12.99,-1.56,12.3,7.22,-5.7,1,15.09,-8.66,18.85,15.74,1,-8.6,-5.24,-21.21,-12.29,-1,2.39,6,0
118,-6.04,18.88,17.33,23.6,17.2,-1,24.75,-7.23,23.97,10.9,-4.09,1,8.31,-11.52,-20.71,22.89,1,5.81,-22.42,6.51,-15.14,0,21.59,6,0
119,18.82,-14.99,-17.39,6.3,0.7,1,12.21,19.05,3.86,11.08,-22.69,1,-24.27,-2.25,4.25,-0.75,1,18.72,-18.17,-18.7,2.73,1,24.61,4,0
120,-10.26,-15.22,22.07,14.3,-22.1,-1,1.47,6.73,-20.71,20.28,-22.07,1,2.44,4.56,4.62,-0.97,0,7.65,3.97,23.28,21.55,1,-4.5,10,0
121,0.06,-9.12,-16.34,-13.5,-16.2,1,2.44,11.58,-0.85,16.55,-21.74,0,-16.23,-20.59,5.71,24.51,0,2.38,0.73,24.29,-0.91,1,4.1,10,0
122,10.33,-2.69,22.28,18.7,22.7,0,12.99,-1.56,12.3,7.22,-5.7,1,15.09,-8.66,18.85,15.74,1,-8.6,-5.24,-21.21,-12.29,-1,2.39,6,0
123,-14.24,-10.14,6.17,-0.9,-16.1,0,16.78,-8.86,-19.93,16.59,21.65,-1,-6.09,6.38,5.64,-19.74,1,24.7,-17.63,-7.78,-3.04,1,17.11,4,0
124,7.92,-6.42,-15.3,14.6,13.1,0,21.65,9.47,-8.2,-19.4,-19.09,1,23.05,6.61,-15.94,7.55,1,6.92,-6.07,3.24,7.76,-1,12.47,8,0
125,-10.68,14.24,-16.47,-1.0,20.6,1,17.45,10.46,-16.99,6.07,5.22,0,23.5,2.48,-0.72,0.54,0,10.2,6.69,-20.52,-19.02,1,-8.65,8,0
126,3.45,-14.25,5.64,2.9,3.3,1,14.13,4.25,16.26,-20.3,15.01,0,-23.43,18.82,18.67,15.94,1,15.66,-22.62,-7.23,-2.47,0,-6.39,6,0
127,22.06,10.22,-14.16,17.1,5.4,0,18.64,-14.36,-6.17,-21.7,7.35,-1,-2.15,13.12,-4.12,15.75,0,-16.66,-24.14,-14.87,9.86,1,24.57,8,0
128,-5.25,-4.2,14.55,-10.4,-24.1,-1,-18.93,20.45,-1.97,-8.63,4.27,-1,15.44,-12.28,23.68,2.45,0,-9.22,-15.42,-18.85,9.45,0,14.41,4,0
129,18.97,-14.99,-17.39,6.3,-2.8,1,22.17,16.18,3.86,11.08,11.81,1,-24.27,11.88,-11.7,0.47,1,4.19,-6.7,19.16,2.73,1,23.09,4,0
130,-6.87,3.05,22.62,-15.8,-2.8,-1,-3.27,-14.17,-13.24,-15.75,-24.13,0,3.89,2.65,-9.07,-20.21,0,-19.78,-23.02,-20.39,6.02,1,-9.87,8,0
131,12.39,21.09,15.13,-9.4,14.7,0,15.36,2.22,1.0,2.96,-18.65,1,-5.82,18.71,5.27,-0.89,1,-4.09,-7.01,-19.56,6.43,0,-6.42,10,0
132,-4.67,-15.22,16.2,20.0,-2.5,-1,6.25,16.18,-17.07,1.25,19.82,0,21.6,-19.6,-2.47,-18.26,1,-16.62,-2.19,-24.95,-18.55,1,7.56,10,0
133,-20.72,-1.27,11.75,14.3,-15.8,0,10.19,20.65,-15.76,-18.72,-4.45,1,-17.07,9.24,2.85,-17.4,0,15.97,-15.21,20.29,21.55,1,0.72,4,0
134,18.97,9.0,9.09,-10.8,3.3,1,12.21,10.93,-2.26,11.08,-22.69,1,-7.03,-21.96,22.51,-0.75,1,-21.75,-18.17,15.87,6.87,1,24.11,4,0
